id,addressee,delivery_line_1,delivery_line_2,last_line,address_type,raw_address,latitude,longitude
NS_17a5ee6d-8,,,,",",fhir_organization,USA,,
NS_45038369-0,,,,",",fhir_organization,USA,,
NS_c31124b8-5,,,,",",fhir_organization,USA,,
NS_c5cae51f-2,,,,",",fhir_organization,USA,,
NS_650cc26a-4,,,,",",fhir_organization,USA,,
NS_11ae2165-8,,,,",",fhir_organization,USA,,
NS_838b9ad7-d,,,,",",fhir_organization,USA,,
NS_88b323e0-8,,,,",",fhir_organization,USA,,
NS_2ff90f38-a,,,,",",fhir_organization,USA,,
NS_53a7bc8e-f,,,,",",fhir_organization,USA,,
NS_45de84f2-8,,,,",",fhir_organization,USA,,
NS_197f129f-3,,,,",",fhir_organization,USA,,
NS_07d57cf8-f,,,,",",fhir_organization,USA,,
NS_940e56a0-0,,,,",",fhir_organization,USA,,
NS_bfdd2357-e,,,,",",fhir_organization,USA,,
NS_7882d530-f,,,,",",fhir_organization,USA,,
NS_513dbd1b-2,,,,",",fhir_organization,USA,,
NS_f6e3ecd7-1,,,,",",fhir_organization,USA,,
NS_a4865701-d,,,,",",fhir_organization,USA,,
NS_8d94ed2d-f,,,,",",fhir_organization,USA,,
NS_2ce29f88-8,,,,",",fhir_organization,USA,,
NS_882f7d51-6,,,,",",fhir_organization,USA,,
NS_e8fd118e-6,,,,",",fhir_organization,USA,,
NS_a30af26b-0,,,,",",fhir_organization,USA,,
NS_48823b10-f,,,,",",fhir_organization,USA,,
NS_20f969f4-0,,,,",",fhir_organization,USA,,
NS_15e495a5-6,,,,",",fhir_organization,USA,,
NS_56a17c42-8,,,,",",fhir_organization,USA,,
NS_a5dcba08-f,,,,",",fhir_organization,USA,,
NS_90ce36a6-f,,,,",",fhir_organization,USA,,
NS_77a8631e-9,,,,",",fhir_organization,USA,,
NS_625e88f8-7,,,,",",fhir_organization,USA,,
NS_47aae24d-9,,,,",",fhir_organization,USA,,
NS_85e3da61-e,,,,",",fhir_organization,USA,,
NS_751cef65-c,,,,",",fhir_organization,USA,,
NS_d9d428d3-6,,,,",",fhir_organization,USA,,
NS_098ec9c9-0,,,,",",fhir_organization,USA,,
NS_30b7a4bc-f,,,,",",fhir_organization,USA,,
NS_068deae6-d,,,,",",fhir_organization,USA,,
NS_af5b301c-3,,,,",",fhir_organization,USA,,
NS_eee36e82-d,,,,",",fhir_organization,USA,,
NS_23587681-6,,,,",",fhir_organization,USA,,
NS_599b34ef-2,,,,",",fhir_organization,USA,,
NS_6c146a48-0,,,,",",fhir_organization,USA,,
NS_5a7c6892-b,,,,",",fhir_organization,USA,,
NS_651e8da3-a,,,,",",fhir_organization,USA,,
NS_86299934-e,,,,",",fhir_organization,USA,,
NS_811ad915-9,,,,",",fhir_organization,USA,,
NS_409e03b7-a,,,,",",fhir_organization,USA,,
NS_75cff1e5-b,,,,",",fhir_organization,USA,,
NS_e9281f97-f,,,,",",fhir_organization,USA,,
NS_1132c9ae-0,,,,",",fhir_organization,USA,,
NS_540167d9-5,,,,",",fhir_organization,USA,,
NS_6f3d7526-5,,,,",",fhir_organization,USA,,
NS_ab07296b-a,,,,",",fhir_organization,USA,,
NS_a151a6d9-3,,,,",",fhir_organization,USA,,
NS_fdfd416a-5,,,,",",fhir_organization,USA,,
NS_953af170-b,,,,",",fhir_organization,USA,,
NS_2ec8ccfb-1,,,,",",fhir_organization,USA,,
NS_68d102e4-b,,,,",",fhir_organization,USA,,
NS_b8446263-c,,,,",",fhir_organization,USA,,
NS_f1008ad2-6,,,,",",fhir_organization,USA,,
NS_aae5c663-e,,,,",",fhir_organization,USA,,
NS_ddc8a5f1-e,,,,",",fhir_organization,USA,,
NS_ccccb1f8-3,,,,",",fhir_organization,USA,,
NS_1adeafa7-9,,,,",",fhir_organization,USA,,
NS_5274d669-f,,,,",",fhir_organization,USA,,
NS_0020cdca-c,,,,",",fhir_organization,USA,,
NS_b9873275-d,,,,",",fhir_organization,USA,,
NS_f1fca4d8-1,,,,",",fhir_organization,USA,,
NS_0d2d5e66-6,,,,",",fhir_organization,USA,,
NS_c0d84ff3-1,,,,",",fhir_organization,USA,,
NS_3d5694af-c,,,,",",fhir_organization,USA,,
